ime="TEST channel" url="plugin://plugin.video.p2p-streams/?url=acestream://b3afd13fb3c5f0c5b548a8195046fc6da2e4e27e&mode=1&name=test" img="-"

ime="DW-TV" 		url="http://hlsstr04.svc.iptv.rt.ru/hls/CH_DEUTSCHEWELLE/variant.m3u8?version=2" 		img="http://www.dw.de/cssi/dwlogo-print.gif"
ime="EINSPLUS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:einsplus/playlist.m3u8" img="-"
ime="GOTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:gotv/playlist.m3u8" img="-"
ime="SCHWEIZ5" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:schweiz5/playlist.m3u8" img="-"
ime="EURONEWS_DE" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:euronews_de/playlist.m3u8" img="-"
ime="TELE_ZENTRALSCHWEIZ" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tele_zentralschweiz/playlist.m3u8" img="-"
ime="K-TV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:k-tv/playlist.m3u8" img="-"
ime="TLC" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tlc/playlist.m3u8" img="-"
ime="5PLUS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:5plus/playlist.m3u8" img="-"
ime="TV24" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tv24/playlist.m3u8" img="-"
ime="DEUTSCHESMUSIKFERNSEHEN" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:deutschesmusikfernsehen/playlist.m3u8" img="-"
ime="ICONCERTS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:iconcerts/playlist.m3u8" img="-"
ime="CNN" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:cnn/playlist.m3u8" img="-"
ime="BBCWORLDNEWS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bbcworldnews/playlist.m3u8" img="-"
ime="SKYNEWSINT" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:skynewsint/playlist.m3u8" img="-"
ime="BBC1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bbc1_hd/playlist.m3u8" img="-"
ime="BBC2" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bbc2/playlist.m3u8" img="-"
ime="BBC3" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bbc3/playlist.m3u8" img="-"
ime="BBC4" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bbc4/playlist.m3u8" img="-"
ime="CHANNEL4" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:channel4/playlist.m3u8" img="-"
ime="ITV1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:itv1_hd/playlist.m3u8" img="-"
ime="FLAVA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:flava/playlist.m3u8" img="-"
ime="HEARTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:heartv/playlist.m3u8" img="-"
ime="PLANETPOP" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:planetpop/playlist.m3u8" img="-"
ime="THE_BOX" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:the_box/playlist.m3u8" img="-"
ime="BLISS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bliss/playlist.m3u8" img="-"
ime="CAPITALTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:capitaltv/playlist.m3u8" img="-"
ime="RTSUN_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rtsun_hd/playlist.m3u8" img="-"
ime="RTSDEUX_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rtsdeux_hd/playlist.m3u8" img="-"
ime="TF1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tf1_hd/playlist.m3u8" img="-"
ime="FR2_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:fr2_hd/playlist.m3u8" img="-"
ime="FR3" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:fr3/playlist.m3u8" img="-"
ime="FR4" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:fr4/playlist.m3u8" img="-"
ime="FR5" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:fr5/playlist.m3u8" img="-"
ime="M6_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:m6_hd/playlist.m3u8" img="-"
ime="ARTE_HD_FR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:arte_hd_fr/playlist.m3u8" img="-"
ime="TV8_MONT_BLANC" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tv8_mont_blanc/playlist.m3u8" img="-"
ime="NT1" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:nt1/playlist.m3u8" img="-"
ime="D8" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:d8/playlist.m3u8" img="-"
ime="NRJ12" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:nrj12/playlist.m3u8" img="-"
ime="RTL9" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rtl9/playlist.m3u8" img="-"
ime="W9" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:w9/playlist.m3u8" img="-"
ime="GULLI" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:gulli/playlist.m3u8" img="-"
ime="FR24" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:fr24/playlist.m3u8" img="-"
ime="TV5MONDE_EUROPE" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tv5monde_europe/playlist.m3u8" img="-"
ime="TV5MONDE_FBS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tv5monde_fbs/playlist.m3u8" img="-"
ime="BFMTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bfmtv/playlist.m3u8" img="-"
ime="BFMBUSINESS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bfmbusiness/playlist.m3u8" img="-"
ime="ROUGETV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rougetv/playlist.m3u8" img="-"
ime="NRJTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:nrjtv/playlist.m3u8" img="-"
ime="RSILA1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rsila1_hd/playlist.m3u8" img="-"
ime="RSILA2_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rsila2_hd/playlist.m3u8" img="-"
ime="RAI1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rai1_hd/playlist.m3u8" img="-"
ime="RAI2" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rai2/playlist.m3u8" img="-"
ime="RAI3" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rai3/playlist.m3u8" img="-"
ime="RAI4" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rai4/playlist.m3u8" img="-"
ime="ITALIA1" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:italia1/playlist.m3u8" img="-"
ime="RETE4" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rete4/playlist.m3u8" img="-"
ime="CANALE5" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:canale5/playlist.m3u8" img="-"
ime="LA7_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:la7_hd/playlist.m3u8" img="-"
ime="CIELO" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:cielo/playlist.m3u8" img="-"
ime="CANALEIT" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:canaleit/playlist.m3u8" img="-"
ime="TELELOMBARDIA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:telelombardia/playlist.m3u8" img="-"
ime="IRIS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:iris/playlist.m3u8" img="-"
ime="LA5" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:la5/playlist.m3u8" img="-"
ime="LA7D" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:la7d/playlist.m3u8" img="-"
ime="RAISTORIA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:raistoria/playlist.m3u8" img="-"
ime="RAINEWS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rainews/playlist.m3u8" img="-"
ime="BOING" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:boing/playlist.m3u8" img="-"
ime="FRISBEE" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:frisbee/playlist.m3u8" img="-"
ime="RAISCUOLA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:raiscuola/playlist.m3u8" img="-"

